page,media_id,original_filename,class,original_url,note
digital-presence,747fdf_f124ca0dada3402f85cdb4e84ba356de~mv2.jpg,Farel_Bisotto_DUBAI CHALLENGE -.jpg,WORK,https://static.wixstatic.com/media/747fdf_f124ca0dada3402f85cdb4e84ba356de~mv2.jpg,Named: Dubai Challenge
digital-presence,747fdf_afcf0819f9374b33aac30f13366d0a98~mv2.jpg,iPhone 11 Mockups volume 3 - 05.jpg,WORK,https://static.wixstatic.com/media/747fdf_afcf0819f9374b33aac30f13366d0a98~mv2.jpg,App/UI mockup
digital-presence,747fdf_4deab9375c9f446cb9924f748d72ee4f~mv2.png,iphone_SND.png,WORK,https://static.wixstatic.com/media/747fdf_4deab9375c9f446cb9924f748d72ee4f~mv2.png,"Named: SND, app screens"
digital-presence,747fdf_bb3c03f4cdd744ec83e79d76dc382da1~mv2.png,montajat 06.png,WORK,https://static.wixstatic.com/media/747fdf_bb3c03f4cdd744ec83e79d76dc382da1~mv2.png,Named: Montajat
digital-presence,747fdf_60da548ed0214ee1a420633af80a504f~mv2.png,Screen Shot 2022-04-14 at 8.13.25 AM.png,WORK,https://static.wixstatic.com/media/747fdf_60da548ed0214ee1a420633af80a504f~mv2.png,"Platform screen, dated Apr 2022"
digital-presence,747fdf_17dcf157c16947dbb50703e4df2f384d~mv2.jpg,02POSTER.jpg,WORK,https://static.wixstatic.com/media/747fdf_17dcf157c16947dbb50703e4df2f384d~mv2.jpg,Poster artwork
digital-presence,747fdf_4492639fb5b545969818ac2c262006e2~mv2.png,01342222.png,WORK,https://static.wixstatic.com/media/747fdf_4492639fb5b545969818ac2c262006e2~mv2.png,
digital-presence,747fdf_ebed50b8980f45ed9cbc0853a40d7e66~mv2.jpg,EOV_ILF.jpg,WORK,https://static.wixstatic.com/media/747fdf_ebed50b8980f45ed9cbc0853a40d7e66~mv2.jpg,Named: ILF
digital-presence,747fdf_414983a9677043b695539bf346b4dfda~mv2.jpg,Calendar -3.jpg,WORK,https://static.wixstatic.com/media/747fdf_414983a9677043b695539bf346b4dfda~mv2.jpg,Calendar design
digital-presence,747fdf_f4760a761df849469ec01649f7d1308b~mv2.jpg,7.jpg,WORK,https://static.wixstatic.com/media/747fdf_f4760a761df849469ec01649f7d1308b~mv2.jpg,
